frame_id,event_id,event_type,milestone,motion_phase,model_raw_label,raw_label_conflict,is_peak_frame,is_contact_frame,event_start_frame,event_end_frame,peak_frame,contact_frame,bounce_frame,shot_direction,motion_energy,raw_swing_type,wrist_speed,racket_speed,ball_racket_distance,contact_score,event_contact_confidence,racket_lag_at_contact,two_hand_distance
80,,No Event,NO_EVENT,ready,Forehand,False,False,False,,,,,,,9.2195,Forehand,8.0623,9.6177,,0.0,,,119.0378
81,,No Event,NO_EVENT,ready,Forehand,False,False,False,,,,,,,8.0623,Forehand,7.0711,1.118,,0.0,,,121.0661
82,,No Event,NO_EVENT,ready,Forehand,False,False,False,,,,,,,7.0711,Forehand,6.4031,7.2111,,0.0,,,126.0
83,,No Event,NO_EVENT,ready,Forehand,False,False,False,,,,,,,7.0711,Forehand,7.2801,9.9624,,0.0,,,130.0038
84,,No Event,NO_EVENT,ready,Forehand,False,False,False,,,,,,,7.4718,Forehand,10.0499,13.7568,,0.0,,,136.0
85,,No Event,NO_EVENT,ready,Forehand,False,False,False,,,,,,,10.3176,Forehand,12.0416,18.1797,,0.0,,,144.0139
86,,No Event,NO_EVENT,ready,Forehand,False,False,False,,,,,,,13.6348,Forehand,14.3178,22.2991,,0.0,,,153.209
87,,No Event,NO_EVENT,ready,Forehand,False,False,False,,,,,,,15.5242,Forehand,15.5242,0.0,,0.0,,,162.0031
88,,No Event,NO_EVENT,ready,Forehand,False,False,False,,,,,,,16.7243,Forehand,18.3848,0.0,,0.0,,,168.4666
89,,No Event,NO_EVENT,ready,Forehand,False,False,False,,,,,,,17.72,Forehand,17.72,0.0,,0.0,,,166.3791
90,,No Event,NO_EVENT,ready,Forehand,False,False,False,,,,,,,18.3848,Forehand,18.4391,0.0,,0.0,,,160.8229
91,,No Event,NO_EVENT,ready,Forehand,False,False,False,,,,,,,18.4391,Forehand,19.4165,0.0,,0.0,,,155.6824
92,,No Event,NO_EVENT,ready,Forehand,False,False,False,,,,,,,18.4391,Forehand,18.0,0.0,,0.0,,,136.565
93,,No Event,NO_EVENT,ready,Forehand,False,False,False,,,,,,,18.1108,Forehand,18.1108,0.0,,0.0,,,120.4326
94,,No Event,NO_EVENT,ready,Forehand,False,False,False,,,,,,,18.0,Forehand,15.0,0.0,,0.0,,,105.4751
