frame_id,timestamp,raw_swing_type,event_id,phase,motion_energy,wrist_speed,wrist_accel,racket_speed,racket_accel,ball_speed,ball_racket_distance,contact_score,two_hand_distance,active_wrist_x_offset,arm_extension_deg,shoulder_turn_deg,hip_shoulder_sep_deg
110,4.376,Forehand,2,ready,35.0,15.2971,-19.7029,0.0,0.0,65.86,,0.0,217.2487,-63.5,169.3394,126.5,19.5083
111,4.415,Forehand,2,ready,15.2971,5.099,-10.198,0.0,0.0,71.4392,,0.0,249.0883,-60.5,161.5651,125.4,19.5599
112,4.455,Forehand,2,ready,5.099,5.099,0.0,0.0,0.0,64.6894,,0.0,278.627,-58.0,155.3764,124.1,18.3977
113,4.495,Forehand,2,ready,5.099,32.0624,26.9634,0.0,0.0,60.75,,0.0,283.7358,-58.0,122.9052,125.0,18.5516
114,4.535,Forehand,2,ready,25.7099,25.7099,-6.3525,0.0,0.0,55.971,,0.0,287.0679,-56.0,105.0698,123.4,16.8537
115,4.574,Forehand,2,ready,25.7099,9.434,-16.2759,0.0,0.0,48.6562,,0.0,297.3214,-58.0,106.115,118.4,13.0474
116,4.614,Forehand,2,ready,25.7099,40.05,30.616,0.0,0.0,41.628,,0.0,278.1079,-58.5,86.3381,104.2,1.2992
117,4.654,Forehand,2,follow_through,40.05,40.2616,0.2117,0.0,0.0,36.5625,414.3156,0.0,265.4807,-74.5,64.5159,98.1,2.0454
118,4.694,Forehand,2,follow_through,40.2616,40.2492,-0.0124,213.3565,213.3565,30.3915,596.9268,0.0,266.1522,-101.0,100.0846,93.7,3.932
119,4.734,Forehand,2,contact_candidate,160.0174,40.8167,0.5674,513.9815,300.625,22.4987,73.1373,0.5937,275.3471,-131.5,127.1641,90.9,5.6856
120,4.773,Forehand,2,forward_swing,160.0174,18.6815,-22.1351,14.0089,-499.9726,0.0,,0.0,276.7418,-146.5,136.4016,89.5,6.3573
121,4.813,Forehand,2,ready,36.4117,20.2485,1.5669,48.5489,34.54,0.0,162.0299,0.0998,257.3908,-135.5,138.8141,88.7,6.5266
122,4.853,Forehand,2,ready,36.4117,40.8167,20.5682,0.0,-48.5489,165.4617,,0.0,226.0619,-107.5,145.0096,88.2,6.3241
123,4.893,Forehand,2,follow_through,40.3113,40.3113,-0.5054,0.0,0.0,277.7451,,0.0,197.1015,-76.0,129.2778,87.3,7.1737
124,4.932,Backhand,2,follow_through,40.4969,40.4969,0.1856,0.0,0.0,0.0,,0.0,174.2699,-45.5,164.6667,88.2,6.2315
125,4.972,Backhand,2,follow_through,40.3113,40.3113,-0.1856,0.0,0.0,0.0,,0.0,157.2069,-12.0,130.5175,90.0,3.8141
126,5.012,Backhand,2,follow_through,40.3113,40.2492,-0.0621,0.0,0.0,0.0,,0.0,149.6162,23.5,138.5163,91.5,1.7312
127,5.052,Backhand,2,follow_through,40.2492,40.2492,0.0,0.0,0.0,0.0,,0.0,136.6931,59.0,146.3099,91.8,0.3418
128,5.092,Backhand,2,follow_through,40.2492,33.541,-6.7082,0.0,0.0,0.0,,0.0,125.9365,89.5,148.8407,92.1,0.1101
129,5.131,Backhand,2,ready,33.541,16.1245,-17.4165,0.0,0.0,0.0,,0.0,116.1551,103.5,151.7528,95.1,2.6978
130,5.171,Backhand,2,ready,16.1245,8.0623,-8.0623,0.0,0.0,0.0,,0.0,107.0047,105.0,129.9916,97.6,4.9921
131,5.211,Backhand,2,ready,10.0,10.0,1.9377,1.0,1.0,0.0,,0.0,97.4166,93.5,78.1113,100.0,7.3481
132,5.251,Backhand,2,ready,10.0,14.4222,4.4222,0.0,-1.0,0.0,,0.0,95.3415,78.0,56.6196,102.4,9.7236
133,5.29,Backhand,2,ready,10.0,9.4868,-4.9354,0.0,0.0,0.0,,0.0,83.4865,85.5,82.2348,105.6,11.9014
134,5.33,Backhand,2,ready,9.4868,5.831,-3.6559,0.0,0.0,0.0,,0.0,74.108,84.5,108.4923,103.7,10.0449
135,5.37,Backhand,2,ready,5.831,3.1623,-2.6687,2.5,2.5,0.0,,0.0,70.0643,84.0,97.8964,100.6,7.8494
136,5.41,Backhand,2,ready,3.6056,3.6056,0.4433,0.0,-2.5,0.0,,0.0,66.2722,83.0,97.7382,97.9,5.1695
137,5.45,Backhand,2,ready,3.6056,8.0,4.3944,0.0,0.0,0.0,,0.0,63.0079,82.5,105.6795,96.6,4.9036
138,5.489,Two-Handed Backhand,2,ready,8.0,13.0,5.0,0.0,0.0,0.0,,0.0,53.0094,82.0,120.2005,95.9,4.2649
139,5.529,Two-Handed Backhand,2,ready,13.0,16.0,3.0,0.0,0.0,0.0,,0.0,45.1774,81.0,118.5957,95.1,2.8484
140,5.569,Two-Handed Backhand,2,ready,16.0,22.1359,6.1359,0.0,0.0,0.0,,0.0,31.257,77.0,111.1351,93.0,0.8339
141,5.609,Two-Handed Backhand,2,ready,22.1359,24.4131,2.2772,0.0,0.0,0.0,,0.0,22.6716,65.5,99.7903,90.0,1.3972
142,5.648,Two-Handed Backhand,2,ready,24.4131,26.9258,2.5127,12.2577,12.2577,0.0,,0.0,24.0,56.0,92.6536,87.8,2.8514
143,5.688,Two-Handed Backhand,2,ready,26.9258,34.7131,7.7873,28.1603,15.9026,0.0,,0.0,49.2443,34.5,88.8209,87.3,2.6754
144,5.728,Backhand,2,ready,31.6228,31.6228,-3.0903,24.1661,-3.9942,0.0,,0.0,72.7324,14.0,87.9957,86.9,3.0665
145,5.768,Backhand,2,ready,31.6228,29.5296,-2.0931,0.0,-24.1661,0.0,,0.0,89.9889,-5.5,90.1466,86.1,3.9116
146,5.808,Backhand,2,ready,29.5296,26.5707,-2.959,0.0,0.0,0.0,,0.0,100.6628,-25.0,94.4488,84.9,5.0694
147,5.847,Backhand,2,ready,26.5707,22.8035,-3.7672,34.9857,34.9857,0.0,,0.0,107.912,-40.5,98.6784,84.7,4.6918
148,5.887,Backhand,2,ready,26.2393,15.5242,-7.2793,20.7002,-14.2855,0.0,,0.0,112.7519,-50.5,101.7982,84.8,4.5525
149,5.927,Backhand,2,ready,18.75,12.0416,-3.4826,25.0,4.2998,0.0,,0.0,114.2804,-58.5,104.5009,85.8,3.6396
150,5.967,Backhand,2,ready,15.5252,9.0554,-2.9862,11.3137,-13.6863,0.0,,0.0,116.1077,-63.5,107.2688,86.7,3.294
151,6.006,Backhand,,ready,18.75,6.3246,-2.7308,30.0666,18.7529,0.0,,0.0,116.0388,-67.0,110.3106,88.0,2.0454
152,6.046,Backhand,,ready,9.0554,4.4721,-1.8524,4.717,-25.3496,0.0,,0.0,115.0,-69.5,114.2548,88.8,1.7806
153,6.086,Backhand,,ready,6.0583,3.6056,-0.8666,8.0777,3.3608,0.0,,0.0,113.1592,-71.0,117.0354,89.6,0.9766
154,6.126,Forehand,,ready,6.0583,2.0,-1.6056,8.5147,0.4369,0.0,,0.0,113.3578,-71.0,118.5642,90.0,0.5729
155,6.166,Forehand,,ready,6.0583,2.2361,0.2361,7.1063,-1.4084,0.0,,0.0,114.5295,-71.0,119.3595,90.0,0.5729
156,6.205,Forehand,,ready,5.3297,3.0,0.7639,2.0616,-5.0448,0.0,,0.0,113.0,-72.0,120.0385,91.6,0.4908
157,6.245,Forehand,,ready,4.4721,4.4721,1.4721,4.2426,2.1811,0.0,,0.0,110.6436,-72.5,122.4062,92.0,0.8852
158,6.285,Forehand,,ready,4.4721,10.0,5.5279,0.0,-4.2426,0.0,,0.0,106.3673,-70.5,125.0223,92.8,1.1238
159,6.325,Forehand,,ready,6.7082,6.7082,-3.2918,0.0,0.0,0.0,,0.0,108.1896,-73.0,127.5438,93.2,0.9339
160,6.364,Backhand,,ready,10.0,12.53,5.8218,0.0,0.0,0.0,,0.0,105.8017,-71.0,129.3497,93.2,0.8892
161,6.404,Backhand,,ready,9.2195,9.2195,-3.3104,0.0,0.0,0.0,,0.0,106.066,-71.0,128.9825,93.6,0.7139
162,6.444,Backhand,,ready,10.198,10.198,0.9785,12.5,12.5,0.0,,0.0,107.2007,-71.0,130.083,93.6,0.1427
163,6.484,Backhand,,ready,10.198,15.2315,5.0335,2.1213,-10.3787,0.0,,0.0,103.8171,-66.0,132.0479,93.2,0.3237
164,6.524,Backhand,,ready,11.0,11.0,-4.2315,11.5434,9.4221,0.0,,0.0,102.9563,-64.0,132.1524,94.0,0.1979
165,6.563,Backhand,,ready,11.0,9.0,-2.0,13.8293,2.2859,0.0,,0.0,103.8171,-62.0,135.1426,94.7,0.065
166,6.603,Backhand,,ready,10.372,6.3246,-2.6754,0.0,-13.8293,0.0,,0.0,106.6771,-61.0,139.1107,95.5,0.0655
167,6.643,Backhand,,ready,6.3246,5.099,-1.2255,0.0,0.0,0.0,,0.0,106.5692,-60.5,143.0391,95.8,0.1827
168,6.683,Backhand,,ready,5.099,3.1623,-1.9367,0.0,0.0,0.0,,0.0,107.7868,-61.5,146.059,96.7,0.0124
169,6.723,Backhand,,ready,4.1231,4.1231,0.9608,0.0,0.0,0.0,,0.0,110.3177,-63.5,148.168,97.6,0.7502
170,6.762,Backhand,,ready,4.1231,5.831,1.7078,0.0,0.0,0.0,,0.0,112.5877,-65.5,149.343,98.6,1.5455
171,6.802,Backhand,,ready,4.1231,2.2361,-3.5949,0.0,0.0,0.0,,0.0,111.0856,-65.5,152.9691,98.8,1.5529
172,6.842,Backhand,,ready,2.2361,2.2361,0.0,0.0,0.0,0.0,,0.0,108.6692,-64.0,156.5953,99.9,2.3347
173,6.882,Backhand,,ready,2.2361,3.0,0.7639,0.0,0.0,0.0,,0.0,104.1201,-63.0,159.3193,100.6,2.9792
174,6.921,Forehand,,ready,3.0,5.831,2.831,0.0,0.0,0.0,,0.0,101.1929,-63.0,160.0037,102.0,4.2015
175,6.961,Forehand,,ready,5.831,7.2801,1.4492,0.0,0.0,0.5737,,0.0,98.0306,-65.0,160.1454,101.7,3.5593
176,7.001,Forehand,,ready,7.2801,11.4018,4.1216,0.0,0.0,0.0,,0.0,95.2733,-69.5,161.5069,102.7,4.0063
177,7.041,Forehand,,ready,11.4018,12.2066,0.8048,0.0,0.0,0.0,,0.0,95.5196,-74.5,158.5523,103.4,5.0266
178,7.081,Forehand,,ready,12.2066,14.4222,2.2156,0.0,0.0,0.0,,0.0,97.4064,-81.0,156.7417,106.6,7.2774
179,7.12,Forehand,,ready,14.4222,14.8661,0.4439,0.0,0.0,0.0,,0.0,92.8493,-88.0,154.1511,108.6,7.3247
180,7.16,Forehand,,ready,14.8661,15.2643,0.3983,0.0,0.0,0.0,,0.0,82.4621,-94.0,155.9755,111.8,7.2272
181,7.2,Forehand,,ready,15.2643,16.7631,1.4987,0.0,0.0,0.0,,0.0,70.6612,-95.5,160.8583,116.3,7.028
182,7.24,Forehand,,ready,15.2643,13.6015,-3.1616,0.0,0.0,0.0,,0.0,57.8014,-94.5,177.4236,117.6,5.5036
183,7.279,Forehand,,ready,16.7631,28.6531,15.0516,0.0,0.0,0.0,,0.0,44.2832,-81.0,144.2882,128.8,2.6123
